No.	Time	Source	Destination	Protocol	Length	Info
105	2.584278	fe80::49:3d8:aa62:8385	ff02::fb	MDNS	102	"Standard query 0x0000 A Roberts-Mac-mini.local, ""QM"" question"
106	2.785375	144.38.27.40	224.0.0.251	MDNS	274	"Standard query response 0x0000 SRV, cache flush 0 0 8770 coding-05.local TXT, cache flush PTR _airdrop._tcp.local PTR d246b987a3b9._airdrop._tcp.local AAAA, cache flush fe80::3ac9:86ff:fe37:40fb A, cache flush 144.38.27.40 NSEC, cache flush coding-05.local NSEC, cache flush d246b987a3b9._airdrop._tcp.local"
107	2.785377	fe80::3ac9:86ff:fe37:40fb	ff02::fb	MDNS	294	"Standard query response 0x0000 SRV, cache flush 0 0 8770 coding-05.local TXT, cache flush PTR _airdrop._tcp.local PTR d246b987a3b9._airdrop._tcp.local AAAA, cache flush fe80::3ac9:86ff:fe37:40fb A, cache flush 144.38.27.40 NSEC, cache flush coding-05.local NSEC, cache flush d246b987a3b9._airdrop._tcp.local"
108	2.80203	144.38.26.38	239.255.255.250	SSDP	216	M-SEARCH * HTTP/1.1 
109	2.806202	144.38.27.55	144.38.27.255	UDP	305	54915 > 54915 Len=263
110	2.880259	144.38.26.57	224.0.0.251	MDNS	285	"Standard query response 0x0000 SRV, cache flush 0 0 8770 Brandons-MacBook-Pro.local TXT, cache flush PTR _airdrop._tcp.local PTR f5b985c0aa24._airdrop._tcp.local AAAA, cache flush fe80::cee:7aa9:638e:2c0d A, cache flush 144.38.26.57 NSEC, cache flush Brandons-MacBook-Pro.local NSEC, cache flush f5b985c0aa24._airdrop._tcp.local"
111	2.880261	fe80::cee:7aa9:638e:2c0d	ff02::fb	MDNS	305	"Standard query response 0x0000 SRV, cache flush 0 0 8770 Brandons-MacBook-Pro.local TXT, cache flush PTR _airdrop._tcp.local PTR f5b985c0aa24._airdrop._tcp.local AAAA, cache flush fe80::cee:7aa9:638e:2c0d A, cache flush 144.38.26.57 NSEC, cache flush Brandons-MacBook-Pro.local NSEC, cache flush f5b985c0aa24._airdrop._tcp.local"
112	2.937723	144.38.26.57	239.255.255.250	SSDP	216	M-SEARCH * HTTP/1.1 
113	2.941952	144.38.26.47	104.16.59.37	TLSv1.2	112	Application Data
114	2.958632	104.16.59.37	144.38.26.47	TCP	60	443 > 50533 [ACK] Seq=1 Ack=59 Win=36 Len=0
115	3.026581	144.38.27.54	144.38.27.255	NBNS	92	Name query NB HRHVFDDLTAGVSU<00>
116	3.026583	144.38.27.54	144.38.27.255	NBNS	92	Name query NB LCVKVZZQ<00>
117	3.026584	144.38.27.54	144.38.27.255	NBNS	92	Name query NB OYSYHZTA<00>
118	3.029293	104.16.59.37	144.38.26.47	TLSv1.2	128	Application Data
119	3.035482	144.38.26.38	224.0.0.251	MDNS	277	"Standard query response 0x0000 SRV, cache flush 0 0 8770 Leathras-imac.local TXT, cache flush PTR _airdrop._tcp.local PTR 66d61272be16._airdrop._tcp.local AAAA, cache flush fe80::e4d:e9ff:fed5:547c A, cache flush 144.38.26.38 NSEC, cache flush Leathras-imac.local NSEC, cache flush 66d61272be16._airdrop._tcp.local"
120	3.035484	fe80::e4d:e9ff:fed5:547c	ff02::fb	MDNS	297	"Standard query response 0x0000 SRV, cache flush 0 0 8770 Leathras-imac.local TXT, cache flush PTR _airdrop._tcp.local PTR 66d61272be16._airdrop._tcp.local AAAA, cache flush fe80::e4d:e9ff:fed5:547c A, cache flush 144.38.26.38 NSEC, cache flush Leathras-imac.local NSEC, cache flush 66d61272be16._airdrop._tcp.local"
121	3.078929	144.38.26.47	104.16.59.37	TCP	54	50533 > 443 [ACK] Seq=59 Ack=75 Win=256 Len=0
122	3.100286	fe80::3ac9:86ff:fe37:40fb	ff02::1:ff2b:ffcb	ICMPv6	86	Neighbor Solicitation for fe80::3ac9:86ff:fe2b:ffcb from 38:c9:86:37:40:fb
123	3.124584	CiscoInc_e8:aa:a2	Spanning-tree-(for-bridges)_00	STP	60	Conf. Root = 32768/1069/00:08:2f:36:6e:80  Cost = 3027  Port = 0x8022
124	3.222105	144.38.27.12	239.255.255.250	SSDP	215	M-SEARCH * HTTP/1.1 
125	3.253971	144.38.27.22	144.38.27.255	UDP	305	54915 > 54915 Len=263
126	3.523033	144.38.27.43	224.0.0.251	MDNS	274	"Standard query response 0x0000 SRV, cache flush 0 0 8770 coding-06.local TXT, cache flush PTR _airdrop._tcp.local PTR f7feed68f087._airdrop._tcp.local AAAA, cache flush fe80::3ac9:86ff:fe4b:ecca A, cache flush 144.38.27.43 NSEC, cache flush coding-06.local NSEC, cache flush f7feed68f087._airdrop._tcp.local"
